10, 1 0.000051 0.643474 -0.640974 2 0. 0.920542 -0.011478 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.081389 -0.193496 -0.042175 8 0.001656 -0.49944 -0.428726 9 0.000019 -0.33454 0.703684 10 0. 0.224784 0.393963 11 0.000017 0.026198 -0.743045 12 0.000079 -0.729402 0.492959 13 0.000026 -0.416089 -0.870403 14 0. 0.502529 0.775398 15 0.125706 -0.798789 -0.223349 16 0.082224 -0.602773 0.139231 17 0.00006 0.526507 -0.690296 18 0.126467 -0.950264 0.005396 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
11, 1 0.000052 0.642842 -0.640584 2 0. 0.920585 -0.010648 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.081674 -0.194173 -0.042677 8 0.001665 -0.499201 -0.428551 9 0.000019 -0.333613 0.703224 10 0. 0.224588 0.393932 11 0.000018 0.029697 -0.743935 12 0.000075 -0.729155 0.492811 13 0.000026 -0.416082 -0.87065 14 0. 0.502597 0.775456 15 0.126017 -0.796749 -0.222997 16 0.082518 -0.602674 0.139336 17 0.00006 0.526398 -0.690463 18 0.126782 -0.950712 0.005144 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
12, 1 0.000051 0.642567 -0.639796 2 0. 0.92053 -0.011168 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.081535 -0.194215 -0.04296 8 0.001671 -0.498386 -0.428212 9 0.000019 -0.334282 0.703445 10 0. 0.225149 0.393792 11 0.000019 0.031117 -0.745062 12 0.000077 -0.728726 0.493451 13 0.000028 -0.414575 -0.870513 14 0. 0.503093 0.775622 15 0.126991 -0.794686 -0.22286 16 0.082386 -0.603964 0.139436 17 0.00006 0.525275 -0.690632 18 0.127754 -0.949932 0.005064 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
13, 1 0.000051 0.643731 -0.640267 2 0. 0.920153 -0.010691 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.083729 -0.195543 -0.040616 8 0.001677 -0.500735 -0.428518 9 0.000019 -0.33271 0.703012 10 0. 0.227268 0.394221 11 0.000021 0.032498 -0.745141 12 0.000077 -0.729452 0.492867 13 0.000029 -0.41692 -0.869834 14 0. 0.501889 0.774721 15 0.128301 -0.796006 -0.222669 16 0.084592 -0.601965 0.138601 17 0.000059 0.527808 -0.690032 18 0.129057 -0.951866 0.004962 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
14, 1 0.000051 0.645165 -0.640348 2 0. 0.919521 -0.010556 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.084664 -0.19569 -0.038766 8 0.001691 -0.50002 -0.428728 9 0.000019 -0.333292 0.703077 10 0. 0.228172 0.394326 11 0.000022 0.031762 -0.744073 12 0.00008 -0.728833 0.492907 13 0.00003 -0.415721 -0.870059 14 0. 0.501474 0.773898 15 0.129191 -0.799402 -0.221927 16 0.085529 -0.600824 0.138957 17 0.000059 0.530314 -0.690632 18 0.129955 -0.952714 0.004639 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
15, 1 0.000051 0.644439 -0.640347 2 0. 0.920579 -0.011141 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.084547 -0.193999 -0.037955 8 0.001698 -0.499566 -0.428579 9 0.000019 -0.332296 0.703412 10 0. 0.228495 0.394257 11 0.000022 0.032068 -0.743653 12 0.000088 -0.729657 0.492198 13 0.000031 -0.417094 -0.869148 14 0. 0.50158 0.774658 15 0.130205 -0.797612 -0.221849 16 0.085415 -0.601814 0.138891 17 0.000059 0.531116 -0.691364 18 0.130966 -0.950993 0.005224 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
16, 1 0.000051 0.643943 -0.640208 2 0. 0.92019 -0.010505 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.084473 -0.195782 -0.037584 8 0.001729 -0.499915 -0.429482 9 0.000019 -0.333549 0.703914 10 0. 0.229322 0.394166 11 0.000022 0.027195 -0.743458 12 0.000092 -0.729084 0.492081 13 0.00003 -0.417433 -0.868208 14 0. 0.501186 0.773923 15 0.130213 -0.795887 -0.221416 16 0.085345 -0.600987 0.138865 17 0.000059 0.530709 -0.690415 18 0.130997 -0.952839 0.004684 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
17, 1 0.00005 0.645329 -0.640331 2 0. 0.919743 -0.009944 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.083626 -0.194634 -0.037089 8 0.001757 -0.500166 -0.429691 9 0.000019 -0.332836 0.703537 10 0. 0.229331 0.394949 11 0.000022 0.029673 -0.743902 12 0.00009 -0.729569 0.492195 13 0.00003 -0.417284 -0.867895 14 0. 0.501579 0.77361 15 0.130096 -0.796593 -0.22127 16 0.084514 -0.60258 0.138819 17 0.000059 0.532432 -0.69136 18 0.130893 -0.952557 0.004763 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
18, 1 0.000051 0.645135 -0.640154 2 0. 0.920742 -0.010527 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.087257 -0.194951 -0.037128 8 0.001781 -0.500356 -0.430337 9 0.000019 -0.333598 0.703897 10 0. 0.228806 0.394488 11 0.000021 0.030089 -0.741959 12 0.000086 -0.729757 0.492434 13 0.00003 -0.417617 -0.866745 14 0. 0.503369 0.773103 15 0.130177 -0.798394 -0.22084 16 0.08815 -0.601656 0.138474 17 0.000059 0.530793 -0.690683 18 0.130997 -0.950472 0.005424 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
19, 1 0.00005 0.645954 -0.640244 2 0. 0.919052 -0.010167 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.088819 -0.196351 -0.037943 8 0.001768 -0.499066 -0.430685 9 0.000019 -0.332809 0.703103 10 0. 0.228698 0.394538 11 0.000022 0.02893 -0.74199 12 0.00009 -0.72963 0.492367 13 0.00003 -0.416919 -0.866376 14 0. 0.503123 0.773237 15 0.131699 -0.798321 -0.220823 16 0.089711 -0.600308 0.138975 17 0.000059 0.529006 -0.690029 18 0.132505 -0.950339 0.00546 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
